,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
0,Back in Action,tt21191806,Back in Action,Yes,2025-01-17,313000000,1:54,164700000,Back in Action,2025.0,movie,Back in Action,Back in Action,2025,114,"Action,Comedy"
1,STRAW,tt32550101,STRAW,Yes,2025-06-06,185200000,1:48,102900000,STRAW,2025.0,movie,Straw,Straw,2025,105,"Drama,Thriller"
2,The Life List,tt2172954,The Life List,Yes,2025-03-28,198900000,2:05,95500000,The Life List,2025.0,movie,The Life List,The Life List,2025,123,"Comedy,Drama,Romance"
3,Exterritorial,tt30876483,Exterritorial,Yes,2025-04-30,159000000,1:49,87500000,Exterritorial,2025.0,movie,Exterritorial,Exterritorial,2025,109,"Action,Mystery,Thriller"
4,Havoc,tt14123284,Havoc,Yes,2025-04-25,154900000,1:47,86900000,Havoc,2025.0,movie,Havoc,Havoc,2025,107,"Action,Crime,Drama"
5,The Secret Life of Pets 2,tt5113040,The Secret Life of Pets 2,No,,106800000,1:26,74500000,The Secret Life of Pets 2,1000.0,movie,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,86,"Adventure,Animation,Comedy"
6,The Electric State,tt7766378,The Electric State,Yes,2025-03-14,158200000,2:08,74200000,The Electric State,2025.0,movie,The Electric State,The Electric State,2025,125,"Action,Adventure,Comedy"
0,Counterattack,tt23648788,Counterattack // Contraataque,Yes,2025-02-28,101000000,1:25,71300000,Counterattack,2025.0,movie,Counterstrike,Contraataque,2025.0,84.0,"Action,Thriller"
8,Ad Vitam,tt32138452,Ad Vitam,Yes,2025-01-10,114000000,1:38,69800000,Ad Vitam,2025.0,movie,Ad Vitam,Ad Vitam,2025,98,"Action,Crime,Drama"
9,Despicable Me 4,tt7510222,Despicable Me 4,No,,109400000,1:34,69800000,Despicable Me 4,1000.0,movie,Despicable Me 4,Despicable Me 4,2024,94,"Adventure,Animation,Comedy"
10,The Secret Life of Pets,tt2709768,The Secret Life of Pets,No,,95600000,1:27,65900000,The Secret Life of Pets,1000.0,movie,The Secret Life of Pets,The Secret Life of Pets,2016,86,"Adventure,Animation,Comedy"
11,Kinda Pregnant,tt30253036,Kinda Pregnant,Yes,2025-02-05,98100000,1:40,58900000,Kinda Pregnant,2025.0,movie,Kinda Pregnant,Kinda Pregnant,2025,97,"Comedy,Drama"
12,Nonnas,tt28309594,Nonnas,Yes,2025-05-09,109500000,1:54,57600000,Nonnas,2025.0,movie,Nonnas,Nonnas,2025,111,Comedy
13,iHostage,tt31181421,iHostage,Yes,2025-04-18,97600000,1:42,57400000,iHostage,2025.0,movie,iHostage,iHostage,2025,100,"Crime,Drama,Thriller"
14,La Dolce Villa,tt31519456,La Dolce Villa,Yes,2025-02-13,91500000,1:39,55500000,La Dolce Villa,2025.0,movie,La Dolce Villa,La Dolce Villa,2025,99,"Comedy,Romance"
15,The Boss Baby,tt3874544,The Boss Baby,No,,90100000,1:38,55200000,The Boss Baby,1000.0,movie,The Boss Baby,The Boss Baby,2017,97,"Adventure,Animation,Comedy"
16,Minions,tt2293640,Minions,No,,82100000,1:31,54100000,Minions,1000.0,movie,Minions,Minions,2015,91,"Adventure,Animation,Comedy"
17,Shrek,tt0126029,Shrek,No,,80200000,1:30,53500000,Shrek,1000.0,movie,Shrek,Shrek,2001,90,"Adventure,Animation,Comedy"
18,Plankton: The Movie,tt32560777,Plankton: The Movie,Yes,2025-03-07,74200000,1:28,50600000,Plankton: The Movie,2025.0,movie,Plankton: The Movie,Plankton: The Movie,2025,87,"Adventure,Animation,Comedy"
19,Despicable Me 3,tt3469046,Despicable Me 3,No,,73600000,1:30,49100000,Despicable Me 3,1000.0,movie,Despicable Me 3,Despicable Me 3,2017,89,"Adventure,Animation,Comedy"
20,Carry-On,tt21382296,Carry-On,Yes,2024-12-13,95400000,2:00,47700000,Carry-On,2024.0,movie,Carry-On,Carry-On,2024,119,"Action,Crime,Thriller"
21,Despicable Me 2,tt1690953,Despicable Me 2,No,,75000000,1:38,45900000,Despicable Me 2,1000.0,movie,Despicable Me 2,Despicable Me 2,2013,98,"Adventure,Animation,Comedy"
22,Shrek 2,tt0298148,Shrek 2,No,,69000000,1:33,44500000,Shrek 2,1000.0,movie,Shrek 2,Shrek 2,2004,93,"Adventure,Animation,Comedy"
23,Bad Influence,tt23558084,Bad Influence // Mala influencia,Yes,2025-05-09,78600000,1:47,44100000,Bad Influence,2025.0,movie,Bad Influence,Mala influencia,2025,106,"Romance,Thriller"
24,K.O.,tt36240772,K.O.,Yes,2025-06-06,63100000,1:27,43500000,K.O.,2025.0,movie,K.O.,K.O.,2025,86,"Action,Adventure,Drama"
25,A Widow's Game,tt33474172,A Widow's Game // La viuda negra,Yes,2025-05-30,83900000,2:02,41300000,A Widow's Game,2025.0,movie,A Widow's Game,La viuda negra,2025,122,"Crime,Drama,Mystery"
26,Sing,tt3470600,Sing (2016),No,,73900000,1:48,41100000,Sing,2016.0,movie,Sing,Sing,2016,108,"Animation,Comedy,Family"
27,Venom: The Last Dance,tt16366836,Venom: The Last Dance,No,,71900000,1:49,39600000,Venom: The Last Dance,1000.0,movie,Venom: The Last Dance,Venom: The Last Dance,2024,110,"Action,Adventure,Sci-Fi"
28,The Super Mario Bros. Movie,tt6718170,The Super Mario Bros. Movie,No,,59700000,1:32,38900000,The Super Mario Bros. Movie,1000.0,movie,The Super Mario Bros. Movie,The Super Mario Bros. Movie,2023,92,"Adventure,Animation,Comedy"
29,The Croods,tt0481499,The Croods,No,,62400000,1:38,38200000,The Croods,1000.0,movie,The Croods,The Croods,2013,98,"Adventure,Animation,Comedy"
30,KPop Demon Hunters,tt14205554,KPop Demon Hunters,Yes,2025-06-20,61100000,1:40,36700000,KPop Demon Hunters,2025.0,movie,KPop Demon Hunters,KPop Demon Hunters,2025,95,"Action,Adventure,Animation"
31,Despicable Me,tt1323594,Despicable Me,No,,57100000,1:35,36100000,Despicable Me,1000.0,movie,Despicable Me,Despicable Me,2010,95,"Adventure,Animation,Comedy"
32,Honeymoon Crasher,tt35300972,Honeymoon Crasher // Lune de miel avec ma mre,Yes,2025-02-12,55200000,1:35,34900000,Honeymoon Crasher,2025.0,movie,Honeymoon Crasher,Lune de miel avec ma mère,2025,93,Comedy
33,PAW Patrol: The Mighty Movie,tt15837338,PAW Patrol: The Mighty Movie,No,,50700000,1:28,34600000,PAW Patrol: The Mighty Movie,1000.0,movie,PAW Patrol: The Mighty Movie,PAW Patrol: The Mighty Movie,2023,88,"Action,Adventure,Animation"
34,Kraven the Hunter,tt8790086,Kraven the Hunter,No,,73000000,2:07,34500000,Kraven the Hunter,1000.0,movie,Kraven the Hunter,Kraven the Hunter,2024,127,"Action,Adventure,Thriller"
35,Demon City,tt35111035,Demon City // Demon City ____,Yes,2025-02-27,60500000,1:48,33600000,Demon City,2025.0,movie,Demon City,Oni Goroshi,2025,106,"Action,Adventure,Crime"
36,The Emoji Movie,tt4877122,The Emoji Movie,No,,48700000,1:27,33600000,The Emoji Movie,1000.0,movie,The Emoji Movie,The Emoji Movie,2017,86,"Adventure,Animation,Comedy"
38,Bullet Train Explosion,tt33452974,Bullet Train Explosion // ______,Yes,2025-04-23,76300000,2:17,33400000,Bullet Train Explosion,2025.0,movie,Bullet Train Explosion,Shinkansen daibakuha,2025,134,"Action,Crime,Drama"
37,Bee Movie,tt0389790,Bee Movie,No,,51200000,1:32,33400000,Bee Movie,1000.0,movie,Bee Movie,Bee Movie,2007,91,"Adventure,Animation,Comedy"
39,A Deadly American Marriage,tt36592065,A Deadly American Marriage,Yes,2025-05-09,55500000,1:43,32300000,A Deadly American Marriage,2025.0,movie,A Deadly American Marriage,A Deadly American Marriage,2025,102,"Crime,Documentary"
40,Last Bullet,tt29768333,Last Bullet // Balle perdue 3,Yes,2025-05-07,59000000,1:53,31300000,Last Bullet,2025.0,movie,Last Bullet,Balle perdue 3,2025,111,"Action,Crime,Drama"
